     Y4 D1 D2       M1     M1.f
1     1  0  1 -1.60301 -1.60301
2     0  1  0 -0.40867 -0.40867
3     0  0  0  0.68770   0.6877
4     0  0  1  1.02629  1.02629
5     0  0  0 -0.13866 -0.13866
6     1  1  1  1.02629  1.02629
7     0  0  0  1.74210   1.7421
8     0  1  1 -1.60301 -1.60301
9     1  1  1  0.12101  0.12101
10    0  0  0 -0.13866 -0.13866
11    0  1  1 -0.13866 -0.13866
12    0  1  0 -1.01711 -1.01711
13    1  0  0  1.02629  1.02629
14    0  0  1  1.74210   1.7421
15    1  1  0  0.12101  0.12101
16    1  0  1  1.02629  1.02629
17    1  0  1  0.12101  0.12101
18    1  0  1  1.02629  1.02629
19    0  1  0 -0.67528 -0.67528
20    1  0  0  1.02629  1.02629
21    0  1  0 -1.60301 -1.60301
22    1  0  1  0.39408  0.39408
23    0  0  0 -1.60301 -1.60301
24    0  0  1  0.12101  0.12101
25    1  1  1 -0.40867 -0.40867
26    1  1  1 -0.67528 -0.67528
27    0  0  1 -1.60301 -1.60301
28    0  1  1 -0.67528 -0.67528
29    1  0  1 -0.67528 -0.67528
30    0  0  0 -1.01711 -1.01711
31    0  0  0  0.39408  0.39408
32    1  1  0 -1.01711 -1.01711
33    1  1  1 -0.67528 -0.67528
34    0  0  1  0.68770   0.6877
35    1  1  1  0.12101  0.12101
36    0  0  0 -0.13866 -0.13866
37    0  1  0 -0.13866 -0.13866
38    0  0  1  0.68770   0.6877
39    0  0  0 -0.13866 -0.13866
40    1  1  0 -0.40867 -0.40867
41    1  1  1  0.12101  0.12101
42    0  0  0  0.68770   0.6877
43    1  0  1  0.12101  0.12101
44    1  1  0  1.74210   1.7421
45    0  0  1 -1.01711 -1.01711
46    1  1  1  0.39408  0.39408
47    1  1  1  1.74210   1.7421
48    0  0  1  0.12101  0.12101
49    0  0  0  0.68770   0.6877
50    0  0  0 -1.01711 -1.01711
51    0  1  0 -0.40867 -0.40867
52    0  0  0 -0.67528 -0.67528
53    1  0  1  1.02629  1.02629
54    0  0  0  1.74210   1.7421
55    0  1  0 -0.67528 -0.67528
56    1  1  1  1.74210   1.7421
57    1  1  0 -0.67528 -0.67528
58    0  0  1 -0.40867 -0.40867
59    1  1  1  0.39408  0.39408
60    1  0  0  0.12101  0.12101
61    0  0  0 -1.01711 -1.01711
62    1  0  1  1.02629  1.02629
63    0  1  0 -1.60301 -1.60301
64    0  0  1 -1.60301 -1.60301
65    1  0  1  0.39408  0.39408
66    0  0  0 -0.40867 -0.40867
67    0  0  0  1.74210   1.7421
68    1  0  1  1.74210   1.7421
69    1  1  0  0.12101  0.12101
70    1  1  1  0.39408  0.39408
71    1  1  0  1.02629  1.02629
72    0  0  1 -1.60301 -1.60301
73    1  1  0 -0.40867 -0.40867
74    0  0  1 -0.40867 -0.40867
75    1  0  1 -0.13866 -0.13866
76    0  1  1 -0.40867 -0.40867
77    0  1  1  0.12101  0.12101
78    1  0  1  0.39408  0.39408
79    1  0  0 -0.13866 -0.13866
80    0  1  1 -0.67528 -0.67528
81    0  1  0  1.74210   1.7421
82    1  1  0 -1.60301 -1.60301
83    1  1  0 -0.67528 -0.67528
84    0  0  1  1.02629  1.02629
85    0  1  1 -0.13866 -0.13866
86    1  0  1 -0.13866 -0.13866
87    1  1  0 -0.67528 -0.67528
88    0  0  0 -0.67528 -0.67528
89    0  0  1 -1.60301 -1.60301
90    0  0  1  0.39408  0.39408
91    1  1  0  1.74210   1.7421
92    0  1  1  1.74210   1.7421
93    0  0  0 -1.60301 -1.60301
94    1  1  1  1.74210   1.7421
95    0  1  0 -1.60301 -1.60301
96    0  0  0  0.68770   0.6877
97    0  0  0  1.74210   1.7421
98    1  1  0  0.12101  0.12101
99    0  0  0 -1.01711 -1.01711
100   1  1  0  0.12101  0.12101
101   0  0  0  0.39408  0.39408
102   0  1  0 -1.60301 -1.60301
103   1  0  1  0.39408  0.39408
104   0  0  0  0.12101  0.12101
105   1  1  0  1.74210   1.7421
106   1  0  0 -0.67528 -0.67528
107   0  1  1  0.68770   0.6877
108   0  0  1 -0.13866 -0.13866
109   1  1  0  0.12101  0.12101
110   0  1  1 -0.13866 -0.13866
111   1  1  0 -0.40867 -0.40867
112   0  0  0 -1.60301 -1.60301
113   1  0  1 -0.40867 -0.40867
114   1  1  0  1.02629  1.02629
115   1  0  1 -0.40867 -0.40867
116   0  0  0 -0.13866 -0.13866
117   0  0  0 -1.60301 -1.60301
118   0  1  0 -1.01711 -1.01711
119   0  0  0 -1.60301 -1.60301
120   0  0  0 -1.01711 -1.01711
121   0  1  1 -0.67528 -0.67528
122   1  0  1 -0.13866 -0.13866
123   1  1  1 -1.60301 -1.60301
124   0  0  0 -0.67528 -0.67528
125   0  1  0  0.12101  0.12101
126   0  0  0  0.39408  0.39408
127   1  0  0 -0.13866 -0.13866
128   0  0  0 -0.67528 -0.67528
129   1  1  1  0.39408  0.39408
130   1  1  1 -0.67528 -0.67528
131   1  1  0  1.02629  1.02629
132   1  0  0  1.02629  1.02629
133   0  0  0 -1.60301 -1.60301
134   0  0  1  0.68770   0.6877
135   1  1  0  0.12101  0.12101
136   1  0  1  0.12101  0.12101
137   1  1  1  0.12101  0.12101
138   0  0  0  0.12101  0.12101
139   1  1  1  1.02629  1.02629
140   0  0  1  0.12101  0.12101
141   1  0  1  1.74210   1.7421
142   0  0  1  0.68770   0.6877
143   1  1  0 -1.60301 -1.60301
144   0  0  0 -0.40867 -0.40867
145   1  0  1 -1.01711 -1.01711
146   0  0  0 -0.67528 -0.67528
147   0  0  0 -0.40867 -0.40867
148   1  1  0 -0.13866 -0.13866
149   0  1  0  1.02629  1.02629
150   0  1  1 -1.01711 -1.01711
151   1  0  1  1.02629  1.02629
152   0  0  0 -0.13866 -0.13866
153   0  0  1  0.39408  0.39408
154   0  1  0  0.39408  0.39408
155   1  0  0  0.68770   0.6877
156   1  1  1  0.12101  0.12101
157   0  0  0  0.68770   0.6877
158   0  0  0 -1.01711 -1.01711
159   1  0  1  1.02629  1.02629
160   0  1  0  0.39408  0.39408
161   0  1  1  1.74210   1.7421
162   0  0  1  1.74210   1.7421
163   1  1  0 -1.01711 -1.01711
164   0  1  1 -0.67528 -0.67528
165   1  1  1  0.68770   0.6877
166   0  0  0  0.68770   0.6877
167   0  0  0 -0.67528 -0.67528
168   0  0  1 -1.60301 -1.60301
169   0  1  0 -0.13866 -0.13866
170   0  1  0  1.74210   1.7421
171   0  0  1  0.68770   0.6877
172   1  0  1  0.39408  0.39408
173   0  0  1  0.39408  0.39408
174   0  0  1 -0.40867 -0.40867
175   0  1  0  1.74210   1.7421
176   0  1  0  0.68770   0.6877
177   0  0  0 -1.60301 -1.60301
178   0  0  0  0.12101  0.12101
179   0  0  0  0.39408  0.39408
180   0  0  1  0.68770   0.6877
181   1  1  1  1.74210   1.7421
182   1  1  0  1.02629  1.02629
183   1  1  1 -0.13866 -0.13866
184   1  1  0 -0.13866 -0.13866
185   0  0  1  0.68770   0.6877
186   0  0  0 -1.01711 -1.01711
187   0  1  0  0.12101  0.12101
188   1  1  1  0.12101  0.12101
189   1  1  1  0.68770   0.6877
190   0  0  1 -1.01711 -1.01711
191   0  0  1 -1.60301 -1.60301
192   0  0  0  0.68770   0.6877
193   0  0  1 -1.60301 -1.60301
194   0  1  0 -1.60301 -1.60301
195   1  1  1  1.74210   1.7421
196   1  0  1  1.74210   1.7421
197   1  0  0 -0.40867 -0.40867
198   0  0  1 -0.13866 -0.13866
199   1  0  0 -0.13866 -0.13866
200   1  1  1 -0.67528 -0.67528
201   0  1  1  1.74210   1.7421
202   0  0  0 -1.01711 -1.01711
203   1  0  0 -0.13866 -0.13866
204   0  1  0 -1.60301 -1.60301
205   0  0  0  0.12101  0.12101
206   1  1  1 -0.40867 -0.40867
207   0  0  1 -0.13866 -0.13866
208   0  1  1 -1.01711 -1.01711
209   1  0  1  0.12101  0.12101
210   0  1  0 -1.01711 -1.01711
211   0  1  0 -0.13866 -0.13866
212   0  1  0 -0.40867 -0.40867
213   1  0  1  0.68770   0.6877
214   1  1  1  0.12101  0.12101
215   0  1  0 -0.67528 -0.67528
216   1  1  1  0.39408  0.39408
217   0  1  0  1.74210   1.7421
218   0  1  1 -1.60301 -1.60301
219   1  1  0 -0.13866 -0.13866
220   1  1  1  0.39408  0.39408
221   1  0  1  1.02629  1.02629
222   1  0  1  1.02629  1.02629
223   0  0  1  0.39408  0.39408
224   1  1  0 -0.67528 -0.67528
225   0  1  0 -0.40867 -0.40867
226   1  1  1  0.12101  0.12101
227   1  0  0 -0.67528 -0.67528
228   1  1  0  0.12101  0.12101
229   1  1  0 -0.13866 -0.13866
230   0  1  1 -1.01711 -1.01711
231   0  0  0 -0.13866 -0.13866
232   0  0  0 -1.01711 -1.01711
233   1  0  1  0.12101  0.12101
234   0  1  0 -1.60301 -1.60301
235   1  0  0  0.12101  0.12101
236   1  1  1  1.02629  1.02629
237   0  0  0 -0.67528 -0.67528
238   0  1  1  0.12101  0.12101
239   1  1  0  0.39408  0.39408
240   1  0  0  0.39408  0.39408
241   1  1  1  1.74210   1.7421
242   1  0  1  0.39408  0.39408
243   0  1  1 -1.01711 -1.01711
244   1  0  1  0.39408  0.39408
245   1  1  0  1.02629  1.02629
246   1  0  1 -1.01711 -1.01711
247   0  1  0  0.12101  0.12101
248   1  1  0  0.39408  0.39408
249   0  1  0 -0.40867 -0.40867
250   0  1  0 -0.13866 -0.13866
251   1  0  0  0.12101  0.12101
252   1  1  0 -0.40867 -0.40867
253   1  1  1 -0.13866 -0.13866
254   1  0  1 -0.13866 -0.13866
255   0  0  0  1.74210   1.7421
256   0  1  0  1.02629  1.02629
