"DepartmentGroupNumber","GroupSize","PercentMale","BAME","NumberTeamLeads","NumberFeMaleTeamLeads","Location","LondonorNot","Function","EMPsurvEngage_1","EMPsurvEngage_2","EMPsurvEngage_3","EMPsurvEngage_4","EMPsurvEngage_5","EMPsurvEngage_6","EMPsurvEngage_7","EMPsurvEngage_8","EMPsurvEngage_9","EMPsurvEngagement","EMPorgIntegrity1","EMPorgIntegrity2","EMPorgIntegrity3","EMPorgIntegrity4","EMPorgIntegrity5","EmpSurvOrgIntegrity","EMPsurvSUP1","EMPsurvSUP2","EMPsurvSUP3","EMPsurvSUP4","EmpSurvSupervisor"
18,18,65,NA,3,1,1,1,2,100,100,94,78,100,94,89,72,78,89,72,78,89,89,18,69.2,72,89,89,83,83.25
19,28,67,NA,4,0,1,1,2,96,86,86,54,96,57,89,82,82,81,75,86,89,89,19,71.6,79,79,64,82,76
29,11,33,NA,2,0,1,1,2,100,91,100,82,100,82,100,73,91,91,73,91,91,91,29,75,73,91,73,73,77.5
30,17,32,NA,2,0,1,1,2,100,100,100,94,100,88,100,88,94,96,100,100,100,100,30,86,100,100,100,100,100
35,32,18,NA,5,3,1,1,2,81,69,72,44,81,44,84,38,47,62,59,81,88,78,35,68.2,81,78,72,75,76.5
37,60,65,NA,9,0,1,1,2,97,97,87,92,97,78,92,55,83,86,87,92,93,80,37,77.8,88,92,78,87,86.25
44,23,15,NA,3,1,1,1,2,91,100,100,87,100,87,96,91,96,94,100,100,100,100,44,88.8,100,100,96,100,99
45,36,26,NA,5,0,1,1,2,100,94,89,97,97,94,97,69,78,91,61,89,89,81,45,73,75,83,78,78,78.5
47,32,65,NA,5,0,3,2,2,91,88,91,81,97,72,94,69,81,85,69,91,97,78,47,76.4,78,94,72,84,82
50,70,5,NA,10,2,3,2,2,97,97,93,90,99,90,99,80,93,93,69,94,97,80,50,78,96,96,90,91,93.25
51,52,75,NA,7,0,3,2,2,92,94,98,98,94,88,98,69,85,91,67,92,94,80,51,76.8,98,94,94,98,96
63,15,50,NA,2,0,3,2,2,93,100,93,87,93,87,100,80,93,92,60,100,100,93,63,83.2,87,93,100,80,90
66,28,56,NA,4,1,3,2,2,100,100,100,93,100,89,96,96,100,97,89,96,100,79,66,86,86,96,93,96,92.75
72,20,33,NA,3,0,3,2,2,100,100,100,80,100,75,100,95,100,94,70,100,100,95,72,87.4,80,85,80,85,82.5
73,61,25,NA,9,1,2,1,2,92,97,97,89,98,93,97,84,93,93,92,100,100,95,73,92,90,90,90,93,90.75
91,48,56,NA,7,0,2,1,2,71,77,71,40,90,37,87,54,60,65,44,85,96,79,91,79,77,90,88,91,86.5
98,21,26,NA,3,1,2,1,2,100,90,100,81,100,86,100,90,95,94,90,90,95,90,98,92.6,100,100,95,90,96.25
102,35,1,NA,5,2,3,2,2,86,80,86,80,80,60,94,46,63,75,51,89,97,63,102,80.4,77,74,69,71,72.75
109,56,45,NA,8,0,3,2,2,98,96,96,93,96,88,100,55,88,90,70,91,96,79,109,89,84,75,75,82,79
131,15,18,NA,2,1,3,2,2,87,67,60,47,87,33,73,73,67,66,67,80,73,67,131,83.6,93,87,67,67,78.5
132,70,65,NA,10,0,1,1,2,87,96,94,71,100,80,93,86,72,87,64,96,96,90,132,95.6,89,87,83,83,85.5
143,17,5,NA,2,2,3,2,2,100,100,100,94,100,88,100,88,94,96,100,100,100,100,143,108.6,100,100,100,100,100
148,38,64,NA,5,0,3,2,1,95,89,97,95,82,82,87,79,76,87,47,89,87,92,148,92.6,76,82,82,84,81
152,17,75,NA,2,0,3,2,1,82,53,65,76,82,59,76,71,53,69,59,65,82,76,152,86.8,71,82,65,71,72.25
154,34,65,NA,5,0,3,2,1,91,85,76,74,82,68,82,76,68,78,59,88,94,91,154,97.2,82,76,79,74,77.75
168,22,45,NA,3,2,3,2,2,95,95,95,100,91,64,100,64,86,88,91,91,86,86,168,104.4,95,100,91,100,96.5
172,40,45,NA,6,2,3,2,2,98,93,95,80,90,78,95,38,88,84,88,88,90,58,172,99.2,88,98,88,93,91.75
175,16,75,NA,2,1,2,1,1,100,100,100,100,100,81,100,81,88,94,94,100,100,100,175,113.8,94,81,50,75,75
176,13,25,NA,2,0,2,1,1,92,85,85,85,77,92,85,77,85,85,85,92,92,92,176,107.4,92,69,77,85,80.75
177,29,75,NA,4,2,2,1,1,90,90,90,83,97,76,93,72,86,86,69,93,97,76,177,102.4,83,97,72,90,85.5
182,21,35,NA,3,1,3,2,2,95,90,95,76,90,75,95,76,95,88,76,81,100,90,182,105.8,86,90,86,86,87
205,27,1,NA,4,2,3,2,2,89,81,81,56,89,59,89,67,67,75,59,93,96,89,205,108.4,85,78,78,85,81.5
206,18,57,NA,3,0,3,2,2,94,89,89,61,89,61,100,72,72,81,61,94,94,89,206,108.8,89,89,83,83,86
217,40,25,NA,6,2,3,2,2,90,95,95,75,100,75,98,95,93,91,65,93,95,58,217,105.6,88,83,85,93,87.25
222,26,96,NA,4,0,3,2,1,65,81,88,65,96,48,81,65,73,74,69,96,100,32,222,103.8,85,81,73,65,76
223,25,100,NA,4,0,3,2,1,84,84,96,64,92,52,88,68,68,77,52,96,100,44,223,103,96,92,84,80,88
224,45,49,NA,6,0,3,2,1,100,93,98,87,91,89,89,96,98,93,80,96,93,73,224,113.2,100,93,84,96,93.25
239,12,52,NA,2,0,3,2,2,100,75,83,75,92,75,100,75,75,83,83,100,100,75,239,119.4,92,75,50,58,68.75
240,48,3,NA,7,7,3,2,2,100,88,79,65,88,56,79,50,67,75,54,79,88,73,240,106.8,83,75,58,73,72.25
244,26,67,NA,4,0,2,1,2,96,96,81,77,92,69,92,46,62,79,62,85,96,81,244,113.6,81,77,76,77,77.75
261,36,65,NA,5,1,2,1,1,94,97,91,69,100,92,97,64,69,86,81,92,94,92,261,124,89,94,86,86,88.75
283,25,65,NA,4,0,2,1,1,92,92,92,72,96,67,88,48,84,81,60,92,100,76,283,122.2,88,92,84,88,88
284,13,50,NA,2,1,3,2,1,100,92,92,92,92,92,100,100,92,95,69,100,92,92,284,127.4,85,100,92,92,92.25
286,36,82,NA,5,2,3,2,1,94,81,81,64,83,72,78,61,72,76,56,83,86,75,286,117.2,69,67,75,61,68
288,18,25,NA,3,0,3,2,2,100,100,100,100,100,94,100,72,94,96,72,83,89,78,288,122,78,78,89,72,79.25
289,21,35,NA,3,0,1,1,2,86,90,100,90,95,95,95,62,86,89,67,95,90,86,289,125.4,90,100,95,90,93.75
294,26,65,NA,4,0,3,2,2,96,100,100,73,96,62,96,77,85,87,69,96,92,77,294,125.6,85,69,88,73,78.75
320,23,58,NA,3,0,3,2,2,74,78,35,87,96,43,91,78,39,69,78,83,83,91,320,131,74,70,65,78,71.75
344,19,24,NA,3,0,3,2,2,100,100,95,100,100,95,100,74,95,95,68,89,100,84,344,137,74,74,74,68,72.5
345,30,65,NA,4,1,3,2,2,87,93,90,83,100,73,100,70,83,87,83,93,97,90,345,141.6,83,97,70,77,81.75
350,16,56,NA,2,0,3,2,2,56,100,94,75,94,63,94,44,88,78,63,94,94,81,350,136.4,81,81,75,75,78
370,14,1,NA,2,0,3,2,2,93,86,86,71,86,64,86,43,57,75,64,86,86,100,370,141.2,86,86,93,100,91.25
374,14,75,NA,2,1,2,1,2,100,93,64,64,93,57,86,57,93,79,86,93,86,93,374,146.4,93,100,86,93,93
376,61,58,NA,9,3,2,1,2,92,74,66,69,80,64,84,57,66,72,54,75,79,75,376,131.8,70,75,80,67,73
394,44,61,NA,6,0,2,1,2,98,95,95,80,98,63,98,55,89,86,68,93,100,98,394,150.6,80,84,89,95,87
395,50,25,NA,7,0,3,2,2,100,98,98,86,100,80,100,82,94,93,80,94,96,88,395,150.6,82,90,84,90,86.5
402,59,68,NA,8,2,3,2,1,93,76,76,58,92,47,86,61,58,72,37,69,88,73,402,133.8,71,71,71,73,71.5
403,65,65,NA,9,0,3,2,1,89,82,80,46,91,32,91,63,54,70,45,68,88,75,403,135.8,82,91,86,88,86.75
404,50,67,NA,7,3,3,2,1,94,90,86,58,96,58,94,70,78,80,58,86,94,84,404,145.2,84,88,86,92,87.5
405,65,25,NA,9,0,3,2,1,94,92,89,72,97,55,91,75,78,83,68,80,89,80,405,144.4,88,88,86,91,88.25
406,40,65,NA,6,0,3,2,1,88,85,85,63,98,50,97,65,65,77,45,78,83,83,406,139,69,78,80,88,78.75
407,61,65,NA,9,0,3,2,1,100,95,97,72,100,73,98,79,85,89,64,92,97,92,407,150.4,92,97,97,98,96
409,44,56,NA,6,0,3,2,2,98,100,100,68,98,82,100,93,98,93,75,98,95,84,409,152.2,93,93,89,93,92
414,51,87,NA,7,1,2,1,1,98,96,98,92,98,92,100,86,98,95,73,92,94,92,414,153,96,94,96,100,96.5
418,44,87,NA,6,2,2,1,1,100,98,100,77,100,75,100,73,93,91,75,91,93,84,418,152.2,82,91,84,91,87
419,53,55,NA,8,0,2,1,1,98,100,100,74,100,81,100,85,96,93,63,87,89,91,419,149.8,87,94,91,100,93
430,60,45,NA,9,2,3,2,2,100,98,100,70,97,70,98,78,93,89,75,98,98,92,430,158.6,87,95,90,93,91.25
432,65,67,NA,9,0,3,2,2,95,92,97,66,95,69,97,78,86,86,60,85,89,82,432,149.6,75,91,83,91,85
437,42,5,NA,6,2,3,2,2,100,95,93,81,100,79,100,76,90,90,62,81,83,86,437,149.8,71,81,83,83,79.5
447,66,67,NA,9,2,1,1,2,98,88,85,55,97,55,92,74,79,80,62,91,92,88,447,156,74,79,76,88,79.25
459,14,62,NA,2,0,3,2,1,93,100,100,93,100,100,100,79,100,96,93,100,100,100,459,170.4,93,100,93,93,94.75
