DATE,WALCL,SPY,WALCL.RESCALE,SPY.RESCALE
2007-01-03,874626,114.809403,0.0062415366,0.310357793
2007-01-10,854819,114.947462,0.0008361711,0.31115049
2007-01-17,859363,116.149409,0.0020762367,0.3180517412
2007-01-24,851755,116.904674,0,0.3223882664
2007-01-31,865730,116.742253,0.0038138024,0.3214556894
2007-02-07,855057,117.927954,0.0009011217,0.3282636605
2007-02-14,867199,118.252797,0.0042146951,0.3301288202
2007-02-21,869235,118.553277,0.0047703231,0.3318540942
2007-02-28,877409,114.452069,0.0070010223,0.3083060788
2007-03-07,864505,113.339468,0.0034794977,0.301917828
2007-03-14,876108,113.112075,0.0066459771,0.3006121995
2007-03-21,863067,116.830231,0.0030870649,0.321960835
2007-03-28,869803,115.631691,0.0049253313,0.3150791459
2007-04-04,862319,117.286833,0.0028829344,0.3245825189
2007-04-11,865441,117.425439,0.0037349338,0.3253783567
2007-04-18,861335,120.075298,0.0026143991,0.3405931228
2007-04-25,879686,121.877195,0.0076224196,0.3509391228
2007-05-02,890857,121.926114,0.0106710054,0.3512200024
2007-05-09,875270,123.246975,0.0064172854,0.3588040252
2007-05-16,859559,123.605727,0.0021297255,0.3608638811
2007-05-23,873935,124.290611,0.0060529615,0.3647962979
2007-05-30,876986,125.13856,0.0068855848,0.3696649893
2007-06-06,872706,123.801401,0.0057175652,0.3619873878
2007-06-13,864989,123.842171,0.0036115822,0.362221478
2007-06-20,866089,123.761787,0.0039117741,0.361759935
2007-06-27,865105,123.15583,0.0036432388,0.3582806955
2007-07-11,869407,124.457819,0.0048172622,0.3657563605
2007-07-18,872916,126.488577,0.0057748746,0.3774164179
2007-07-25,863890,124.14665,0.0033116631,0.3639697131
2007-08-01,870261,119.904973,0.0050503204,0.3396151632
2007-08-08,865453,122.689089,0.0037382086,0.3556007963
2007-08-15,864931,115.491344,0.0035957539,0.3142733118
2007-08-22,862775,120.085123,0.0030073776,0.3406495352
2007-08-29,872873,119.995048,0.0057631398,0.3401323492
2007-09-05,871156,121.018617,0.0052945675,0.3460094026
2007-09-12,886314,121.084127,0.0094312126,0.3463855432
2007-09-19,867732,125.579647,0.0043601518,0.3721975902
2007-09-26,889900,125.212796,0.0104098384,0.3700912321
2007-10-03,869051,126.52095,0.0047201092,0.3776022948
2007-10-10,886363,128.528437,0.0094445848,0.3891287364
2007-10-17,869509,126.907639,0.0048450982,0.3798225573
2007-10-24,881395,124.628645,0.0080888088,0.3667371967
2007-10-31,883385,127.23673,0.0086318833,0.3817121079
2007-11-07,885724,121.69147,0.0092702006,0.3498727407
2007-11-14,889537,121.494008,0.0103107751,0.3487389678
2007-11-21,891028,116.565791,0.0107176716,0.3204424928
2007-11-28,879417,121.049734,0.0075490091,0.3461880679
2007-12-05,882764,122.431931,0.0084624113,0.3541242653
2007-12-12,881750,122.892664,0.0081856889,0.3567696683
2007-12-19,887983,120.021309,0.0098866857,0.3402831327
2007-12-26,890662,123.693776,0.0106177896,0.3613694344
2008-01-02,922187,119.872535,0.0192210182,0.3394289131
2008-01-09,880754,116.100932,0.0079138787,0.3177733995
2008-01-16,893581,113.297042,0.0114143899,0.3016742295
2008-01-23,877253,110.716473,0.0069584496,0.2868573076
2008-01-30,900264,111.584938,0.0132381925,0.2918437963
2008-02-06,871022,110.046519,0.0052579986,0.2830106149
2008-02-13,883005,112.792506,0.0085281807,0.2987773217
2008-02-20,878949,112.420311,0.007421291,0.2966402797
2008-02-27,893825,114.322658,0.0114809779,0.3075630362
2008-03-05,881208,110.691661,0.0080377762,0.2867148439
2008-03-12,896565,108.648707,0.0122287288,0.2749847605
2008-03-19,888646,107.788522,0.0100676196,0.2700458133
2008-03-26,893965,110.716005,0.0115191842,0.2868546205
2008-04-02,883708,113.625209,0.0087200306,0.3035584747
2008-04-09,893029,112.902068,0.0112637481,0.2994063968
2008-04-16,881904,113.749897,0.0082277158,0.3042743991
2008-04-23,885781,114.473038,0.009285756,0.3084264771
2008-04-30,888131,114.921881,0.0099270752,0.3110036109
2008-05-07,889228,115.969203,0.0102264484,0.3170170476
2008-05-14,880175,117.008204,0.0077558686,0.3229827073
2008-05-21,898487,115.944268,0.012753246,0.3168738776
2008-05-28,904054,115.786337,0.0142724902,0.315967081
2008-06-04,895939,114.722401,0.0120578923,0.3098582513
2008-06-11,890610,111.331098,0.0106035987,0.2903863164
2008-06-18,902304,111.588769,0.0137949121,0.2918657929
2008-06-25,892713,110.108641,0.0111775111,0.2833673024
2008-07-02,902962,105.405573,0.0139744815,0.2563635715
2008-07-09,898034,104.244425,0.0126296215,0.249696577
2008-07-16,910681,103.551076,0.0160810103,0.2457155566
2008-07-23,899665,107.067936,0.0130747243,0.2659084054
