"MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X2ndFlrSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","WoodDeckSF","OpenPorchSF","SalePrice"
60,65,8450,7,5,196,706,150,856,854,1,0,2,1,3,8,0,2003,2,0,61,208500
20,80,9600,6,8,0,978,284,1262,0,0,1,2,0,3,6,1,1976,2,298,0,181500
60,68,11250,7,5,162,486,434,920,866,1,0,2,1,3,6,1,2001,2,0,42,223500
70,60,9550,7,5,0,216,540,756,756,1,0,1,0,3,7,1,1998,3,0,35,140000
60,84,14260,8,5,350,655,490,1145,1053,1,0,2,1,4,9,1,2000,3,192,84,250000
50,85,14115,5,5,0,732,64,796,566,1,0,1,1,1,5,0,1993,2,40,30,143000
20,75,10084,8,5,186,1369,317,1686,0,1,0,2,0,3,7,1,2004,2,255,57,307000
60,77.8888888888889,10382,7,6,240,859,216,1107,983,1,0,2,1,3,7,2,1973,2,235,204,200000
50,51,6120,7,5,0,0,952,952,752,0,0,2,0,2,8,2,1931,2,90,0,129900
190,50,7420,5,6,0,851,140,991,0,1,0,1,0,2,5,2,1939,1,0,4,118000
20,70,11200,5,5,0,906,134,1040,0,1,0,1,0,3,5,0,1965,1,0,0,129500
60,85,11924,9,5,286,998,177,1175,1142,1,0,3,0,4,11,2,2005,3,147,21,345000
20,79.1111111111111,12968,5,6,0,737,175,912,0,1,0,1,0,2,4,0,1962,1,140,0,144000
20,91,10652,7,5,306,0,1494,1494,0,0,0,2,0,3,7,1,2006,3,160,33,279500
20,78,10920,6,5,212,733,520,1253,0,1,0,1,1,2,5,1,1960,1,0,213,157000
45,51,6120,7,8,0,0,832,832,0,0,0,1,0,2,5,0,1991,2,48,112,132000
20,90.2,11241,6,7,180,578,426,1004,0,1,0,1,0,2,5,1,1970,2,0,0,149000
90,72,10791,4,5,0,0,0,0,0,0,0,2,0,2,6,0,1967,2,0,0,90000
20,66,13695,5,5,0,646,468,1114,0,1,0,1,1,3,6,0,2004,2,0,102,159000
20,70,7560,5,6,0,504,525,1029,0,0,0,1,0,3,6,0,1958,1,0,0,139000
60,101,14215,8,5,380,0,1158,1158,1218,0,0,3,1,4,9,1,2005,3,240,154,325300
45,57,7449,7,7,0,0,637,637,0,0,0,1,0,3,6,1,1930,1,0,0,139400
20,75,9742,8,5,281,0,1777,1777,0,0,0,2,0,3,7,1,2002,2,171,159,230000
120,44,4224,5,7,0,840,200,1040,0,1,0,1,0,3,6,1,1976,2,100,110,129900
20,68.2,8246,5,8,0,188,204,1060,0,1,0,1,0,3,6,1,1968,1,406,90,154000
20,110,14230,8,5,640,0,1566,1566,0,0,0,2,0,3,7,1,2007,3,0,56,256300
20,60,7200,5,7,0,234,180,900,0,0,1,1,0,3,5,0,2005,2,222,32,134800
20,98,11478,8,5,200,1218,486,1704,0,1,0,2,0,3,7,1,2008,3,0,50,306000
20,47,16321,5,6,0,1277,207,1484,0,1,0,1,0,2,6,2,1957,1,288,258,207500
30,60,6324,4,6,0,0,520,520,0,0,0,1,0,1,4,0,1920,1,49,0,68500
70,50,8500,4,4,0,0,649,649,668,0,0,1,0,3,6,0,1920,1,0,54,40000
20,68.625,8544,5,6,0,0,1228,1228,0,0,0,1,1,3,6,0,1966,1,0,65,149350
20,85,11049,8,5,0,0,1234,1234,0,0,0,2,0,3,7,0,2007,2,0,30,179900
20,70,10552,5,5,0,1018,380,1398,0,0,1,1,1,4,6,1,1959,2,0,38,165500
120,60,7313,9,5,246,1153,408,1561,0,1,0,2,0,2,6,1,2005,2,203,47,277500
60,108,13418,8,5,132,0,1117,1117,1320,0,0,3,1,4,9,1,2004,3,113,32,309000
20,112,10859,5,5,0,0,1097,1097,0,0,0,1,1,3,6,0,1995,2,392,64,145000
20,74,8532,5,6,650,1213,84,1297,0,0,1,1,0,3,5,1,1954,2,0,0,153000
20,68,7922,5,7,0,731,326,1057,0,1,0,1,0,3,5,0,1953,1,0,52,109000
90,65,6040,4,5,0,0,0,0,0,0,0,2,0,2,6,0,1948.8,0,0,0,82000
20,84,8658,6,5,101,643,445,1088,0,0,0,2,0,3,6,1,1965,2,0,138,160000
20,115,16905,5,6,0,967,383,1350,0,0,1,1,1,2,5,2,1959,1,0,104,170000
85,70.8333333333333,9180,5,7,0,747,0,840,0,1,0,1,0,2,5,0,1983,2,240,0,144000
20,70.6666666666667,9200,5,6,0,280,167,938,0,1,0,1,0,3,5,0,1977,1,145,0,130250
20,70,7945,5,6,0,179,465,1150,0,1,0,1,0,3,6,0,1959,1,0,0,141000
120,61,7658,9,5,412,456,1296,1752,0,1,0,2,0,2,6,1,2005,2,196,82,319900
50,48,12822,7,5,0,1351,83,1434,631,1,0,1,1,1,6,1,2003,2,168,43,239686
20,84,11096,8,5,0,24,1632,1656,0,0,0,2,0,3,7,0,2006,3,0,146,249700
190,33,4456,4,5,0,0,736,736,716,0,0,2,0,2,8,0,1950.33333333333,0,0,0,113000
20,66,7742,5,7,0,763,192,955,0,1,0,1,0,3,6,0,1966,1,0,0,127000
60,80.25,13869,6,6,0,182,612,794,676,0,1,2,0,3,6,0,1997,2,0,75,177000
50,52,6240,6,6,0,0,816,816,0,0,0,1,0,3,6,1,1985,2,112,0,114500
90,110,8472,5,5,0,104,0,816,0,1,0,1,0,2,5,0,1963,2,106,0,110000
20,68,50271,9,5,0,1810,32,1842,0,2,0,0,1,0,5,1,1981,3,857,72,385000
80,60,7134,5,5,0,384,0,384,0,0,0,1,0,3,6,1,1962,2,0,50,130000
20,100,10175,6,5,272,490,935,1425,0,0,0,2,0,3,7,1,1964,2,0,0,180500
160,24,2645,8,5,456,649,321,970,756,1,0,2,1,3,7,0,1999,2,115,0,172500
60,89,11645,7,5,0,0,860,860,860,0,0,2,1,3,7,0,2004,2,0,70,196500
60,66,13682,10,5,1031,0,1410,1410,1519,0,0,3,1,3,10,1,2006,3,192,0,438780
20,60,7200,5,7,0,632,148,780,0,0,0,1,0,2,4,0,1973,1,196,0,124900
20,63,13072,6,5,0,941,217,1158,0,1,0,1,1,3,5,0,2006,2,0,50,158000
75,60,7200,5,7,0,0,530,530,530,0,0,1,0,3,6,0,1935,1,0,0,101000
120,44,6442,8,5,178,24,1346,1370,0,0,0,2,0,2,6,1,2006,2,120,49,202500
70,50,10300,7,6,0,0,576,576,808,0,0,2,0,3,9,0,1990,2,12,11,140000
60,80.4285714285714,9375,7,5,573,739,318,1057,977,1,0,2,1,3,8,0,1998,2,576,36,219500
60,76,9591,8,5,344,0,1143,1143,1330,0,0,2,1,4,9,1,2004,3,192,151,317000
20,68.6666666666667,19900,7,5,287,912,1035,1947,0,1,0,2,0,3,7,1,1970,2,301,0,180000
20,72,10665,7,5,167,1013,440,1453,0,1,0,2,0,3,7,0,2003,2,144,29,226000
30,47,4608,4,6,0,0,747,747,0,0,0,1,0,2,4,0,1945,1,0,0,80000
50,81,15593,7,4,0,603,701,1304,983,0,0,2,0,3,7,1,1953,2,0,21,225000
20,95,13651,7,6,1115,1880,343,2223,0,1,0,2,0,3,8,2,1973,2,300,0,244000
20,69,7599,4,6,0,565,280,845,0,1,0,1,0,2,4,0,1987,2,0,0,129500
60,74,10141,7,5,40,0,832,832,833,0,0,2,1,3,7,1,1998,2,0,94,185000
20,85,10200,5,7,104,320,404,1086,0,1,0,1,0,3,6,0,1989,2,0,0,144900
50,60,5790,3,6,0,0,840,840,765,0,0,2,0,3,8,0,1915,1,0,0,107400
180,21,1596,4,5,0,462,0,462,462,1,0,1,0,2,5,0,1973,1,120,101,91000
20,66.7777777777778,8475,4,7,0,228,724,952,0,0,0,1,0,2,4,0,1956,1,0,0,135750
50,50,8635,5,5,0,336,295,672,213,1,0,1,0,2,6,0,1948,1,0,0,127000
90,72,10778,4,5,0,0,1768,1768,0,0,0,2,0,4,8,0,1950.7,0,0,0,136500
50,60,10440,5,6,0,0,440,440,548,0,0,1,1,2,5,0,1966,2,74,0,110000
60,100,13000,6,6,576,448,448,896,960,0,0,2,1,4,8,1,1968,1,0,72,193500
120,32,4500,6,5,443,1201,36,1237,0,1,0,2,0,2,5,0,1998,2,0,199,153500
20,78,10206,8,5,468,33,1530,1563,0,0,0,2,0,3,6,1,2007,3,144,99,245000
20,80,8892,5,5,66,0,1065,1065,0,0,0,1,1,3,6,0,1974,2,74,0,126500
80,70.5,8530,7,5,22,0,384,384,670,0,0,2,1,3,7,1,1995,2,120,72,168500
60,121,16059,8,5,284,0,1288,1288,1116,0,0,2,1,4,9,1,1991,2,127,82,260000
60,122,11911,6,5,0,0,684,684,876,0,0,2,1,3,6,1,2005,2,100,38,174000
160,40,3951,6,5,76,0,612,612,612,0,0,2,1,2,4,0,2009,2,0,234,164500
50,105,8470,3,2,0,0,1013,1013,0,0,0,1,0,2,6,0,1946.33333333333,0,0,0,85000
20,60,8070,4,5,0,588,402,990,0,1,0,1,0,3,5,0,1969.44444444444,0,0,0,123600
20,60,7200,4,5,0,0,0,0,0,0,0,1,0,2,4,0,1950,2,0,29,109900
20,85,8500,5,3,203,600,635,1235,0,0,0,1,0,2,6,0,1961,2,0,0,98600
30,80,13360,5,7,0,713,163,876,0,1,0,1,0,2,5,0,1921,2,0,0,163500
190,60,7200,6,6,0,1046,168,1214,1031,0,1,2,0,4,9,1,1900,2,0,0,133900
60,69,9337,6,5,0,648,176,824,881,1,0,2,1,3,7,0,1997,2,0,162,204750
60,71.7,9765,6,8,68,310,370,680,790,0,0,2,1,3,6,1,1993,2,232,63,185000
20,78,10264,7,5,183,1162,426,1588,0,0,0,2,0,3,6,0,1999,2,158,29,214000
20,73,10921,4,5,48,520,440,960,0,1,0,1,0,3,6,0,1965,1,120,0,94750
30,85,10625,5,5,0,108,350,458,0,0,0,1,0,2,5,0,1920,1,0,0,83000
20,77,9320,4,5,0,569,381,950,0,1,0,1,1,3,6,0,1967.2,0,352,0,128950
20,75.625,10603,6,7,28,1200,410,1610,0,1,0,2,0,3,6,2,1977,2,168,68,205000
60,77,9206,6,5,336,0,741,741,755,0,0,2,1,3,7,1,1985,2,192,46,178000
90,64,7018,5,5,0,0,0,0,0,0,0,2,0,4,8,0,1979,2,0,0,118964
20,94,10402,7,5,0,0,1226,1226,0,0,0,2,0,3,6,0,2009,3,0,36,198900
50,72.8888888888889,7758,7,4,600,224,816,1040,592,0,0,1,1,4,7,2,1951,1,0,0,169500
60,75,9375,8,5,768,0,1053,1053,939,0,0,2,1,3,9,1,2003,2,140,45,250000
30,60,10800,4,7,0,0,641,641,0,0,0,1,0,2,6,0,1954,1,0,0,100000
20,50,6000,5,5,0,104,516,789,0,0,0,1,0,2,5,0,1948,1,0,0,115000
50,85,8500,5,7,0,0,793,793,520,0,0,2,0,3,7,0,1954.8,0,0,0,115000
20,105,11751,6,6,480,705,1139,1844,0,0,0,2,0,3,7,1,1977,2,0,122,190000
50,75,9525,6,4,0,444,550,994,639,0,0,2,0,4,7,0,1954,1,182,0,136900
80,62,7750,7,5,0,250,134,384,656,0,0,2,1,3,7,1,2000,2,180,0,180000
60,77,9965,7,5,220,984,280,1264,1414,1,0,2,1,4,10,1,2007,3,120,184,383970
20,78.6666666666667,21000,6,5,184,35,905,1809,0,1,0,2,0,3,7,2,1953,2,166,120,217000
70,61,7259,6,8,0,774,104,1028,884,1,0,2,1,3,9,1,1945,1,224,0,259500
160,34,3230,6,5,1129,419,310,729,729,0,0,2,1,2,5,1,1999,2,0,32,176000
20,72,11616,5,5,116,170,252,1092,0,0,1,1,0,3,6,1,1962,1,0,20,139000
20,74,8536,5,5,0,0,1125,1125,0,0,0,1,1,2,5,0,2007,2,80,64,155000
60,90,12376,7,5,0,1470,203,1673,1523,1,0,3,0,5,11,2,1990,3,367,0,320000
60,65,8461,6,5,0,0,728,728,728,0,0,2,1,3,8,1,2005,2,0,24,163990
80,67.4285714285714,21453,6,5,0,938,0,938,0,1,0,1,0,1,4,2,1969,2,0,130,180000
50,50,6060,4,5,0,0,732,732,351,0,0,1,0,3,4,0,1979,1,0,0,100000
20,75,9464,6,7,135,570,510,1080,0,0,0,1,0,3,5,0,1958,1,0,0,136000
120,55,7892,6,5,0,300,899,1199,0,0,0,2,0,2,5,0,1993,2,0,63,153900
20,48,17043,6,5,0,0,1362,1362,0,0,0,2,0,3,7,1,1979,2,192,0,181000
190,60,6780,6,8,0,490,30,520,0,1,0,1,0,2,5,0,1941.75,0,53,0,84500
120,53.3,4928,6,5,0,120,958,1078,0,0,0,2,0,2,5,1,1977,2,0,205,128000
45,55,4388,5,7,0,116,556,672,0,0,0,1,0,3,5,1,1954.33333333333,0,0,0,87000
60,69,7590,6,5,266,512,148,660,688,0,0,1,1,3,6,1,1966,2,188,108,155000
20,69,8973,5,7,85,567,413,1008,0,0,1,1,1,3,6,0,1998,2,0,80,150000
60,88,14200,7,6,309,445,479,924,941,0,0,2,1,4,8,2,1966,2,105,66,226000
