DATE,SPY,VEA,BND,TIP,SHV
6/30/2016,0.0034674,-0.0206166,0.0199984,0.0219237,0.0010010
5/31/2016,0.0168646,-0.0030010,-0.0000678,-0.0064623,-0.0000718
4/29/2016,0.0039374,0.0228692,0.0040780,0.0020913,0.0005451
3/31/2016,0.0650782,0.0694866,0.0087454,0.0165351,0.0003625
2/29/2016,-0.0008304,-0.0313303,0.0084834,0.0121343,0.0003544
1/29/2016,-0.0510646,-0.0568701,0.0119393,0.0155603,0.0007256
12/31/2015,-0.0173285,-0.0216059,-0.0017729,-0.0101597,-0.0001212
11/30/2015,0.0036484,-0.0076528,-0.0039307,-0.0014430,-0.0001198
10/30/2015,0.0818438,0.0651696,0.0002953,0.0029915,-0.0002824
9/30/2015,-0.0259678,-0.0416993,0.0080644,-0.0052419,0.0002845
8/31/2015,-0.0628867,-0.0750836,-0.0024725,-0.0095438,0.0000907
7/31/2015,0.0223379,0.0145220,0.0087638,0.0053405,-0.0001814
6/30/2015,-0.0204993,-0.0295288,-0.0111749,-0.0102993,0.0000907
5/29/2015,0.0127742,-0.0004836,-0.0049757,-0.0101069,0.0000000
4/30/2015,0.0097858,0.0379356,-0.0032535,0.0067559,0.0000907
3/31/2015,-0.0158701,-0.0122344,0.0054418,-0.0048303,-0.0000907
2/27/2015,0.0546819,0.0597762,-0.0131502,-0.0129697,0.0001814
1/30/2015,-0.0300771,0.0071025,0.0237535,0.0318073,0.0000907
12/31/2014,-0.0025634,-0.0384584,0.0006000,-0.0105661,-0.0000877
11/28/2014,0.0271014,0.0000000,0.0103703,0.0015905,-0.0000907
10/31/2014,0.0232779,-0.0035282,0.0050975,0.0089719,0.0001863
9/30/2014,-0.0138872,-0.0424434,-0.0057285,-0.0262867,-0.0001814
8/29/2014,0.0387047,0.0026420,0.0113300,0.0060412,0.0000907
7/31/2014,-0.0135287,-0.0240002,-0.0027757,-0.0009123,-0.0000907
6/30/2014,0.0204234,0.0103730,0.0008394,0.0037111,0.0000000
5/30/2014,0.0229412,0.0174987,0.0104751,0.0221016,0.0000000
4/30/2014,0.0069274,0.0156272,0.0079924,0.0108243,0.0000000
3/31/2014,0.0082763,-0.0036606,-0.0017018,-0.0053381,0.0000907
2/28/2014,0.0445103,0.0577769,0.0046833,0.0043573,0.0001814
1/31/2014,-0.0358845,-0.0534676,0.0153716,0.0208013,-0.0000907
12/31/2013,0.0255662,0.0187761,-0.0063646,-0.0146294,0.0001050
11/29/2013,0.0292069,0.0065878,-0.0029446,-0.0106180,0.0000454
10/31/2013,0.0452666,0.0315829,0.0085444,0.0034367,-0.0002268
9/30/2013,0.0311898,0.0755733,0.0110872,0.0174144,0.0000907
8/30/2013,-0.0304513,-0.0161511,-0.0086112,-0.0184269,0.0000000
7/31/2013,0.0503859,0.0506611,0.0037918,0.0089770,0.0002721
6/28/2013,-0.0134199,-0.0280835,-0.0166167,-0.0387597,-0.0001814
5/31/2013,0.0233047,-0.0301930,-0.0194494,-0.0428347,-0.0000907
4/30/2013,0.0190301,0.0508403,0.0101009,0.0079093,0.0001814
3/28/2013,0.0372721,0.0118105,0.0007866,0.0021298,0.0000954
2/28/2013,0.0126781,-0.0115481,0.0053520,0.0019025,-0.0000675
1/31/2013,0.0499231,0.0376037,-0.0069262,-0.0052025,-0.0002721
12/31/2012,0.0089229,0.0414807,-0.0017665,-0.0082645,0.0003810
11/30/2012,0.0056789,0.0267237,0.0026929,0.0055640,0.0001079
10/31/2012,-0.0183659,0.0105885,-0.0010084,0.0062224,-0.0000756
9/28/2012,0.0250402,0.0260105,0.0018088,0.0051050,-0.0000822
8/31/2012,0.0247440,0.0323311,0.0016151,-0.0024734,0.0001850
7/31/2012,0.0117234,0.0025308,0.0122402,0.0173829,0.0000000
6/29/2012,0.0397657,0.0674781,0.0006566,-0.0067358,-0.0000907
5/31/2012,-0.0619347,-0.1184229,0.0092771,0.0192758,0.0002722
4/30/2012,-0.0066980,-0.0240904,0.0109728,0.0176735,0.0000000
3/30/2012,0.0316506,0.0032691,-0.0050816,-0.0086324,-0.0000898
2/29/2012,0.0424898,0.0476856,0.0004101,-0.0057976,-0.0000907
1/31/2012,0.0453313,0.0546341,0.0063242,0.0226233,-0.0001815
12/30/2011,0.0103859,-0.0214783,0.0092363,0.0016356,0.0002574
11/30/2011,-0.0040720,-0.0210856,-0.0006177,0.0052019,-0.0001453
10/31/2011,0.1035914,0.0931052,0.0011063,0.0204786,-0.0001312
9/30/2011,-0.0719788,-0.1202508,0.0066157,-0.0000867,0.0001381
8/31/2011,-0.0565446,-0.0897299,0.0164428,0.0064039,0.0004068
7/31/2011,-0.0202073,-0.0241872,0.0161385,0.0382464,-0.0005624
