"PERMNO","date","TICKER","PRC","SHROUT"
10107,20120103,"MSFT",26.765,8390771
10107,20120104,"MSFT",27.4,8390771
10107,20120105,"MSFT",27.68,8390771
10107,20120106,"MSFT",28.105,8390771
10107,20120109,"MSFT",27.74,8390771
10107,20120110,"MSFT",27.84,8390771
10107,20120111,"MSFT",27.72,8390771
10107,20120112,"MSFT",28,8390771
10107,20120113,"MSFT",28.25,8390771
10107,20120117,"MSFT",28.255,8390771
10107,20120118,"MSFT",28.23,8390771
10107,20120119,"MSFT",28.12,8390771
10107,20120120,"MSFT",29.71,8390771
10107,20120123,"MSFT",29.73,8390771
10107,20120124,"MSFT",29.34,8390771
10107,20120125,"MSFT",29.56,8390771
10107,20120126,"MSFT",29.5,8390771
10107,20120127,"MSFT",29.23,8390771
10107,20120130,"MSFT",29.61,8390771
10107,20120131,"MSFT",29.53,8390771
10107,20120201,"MSFT",29.89,8390771
10107,20120202,"MSFT",29.95,8390771
10107,20120203,"MSFT",30.24,8390771
10107,20120206,"MSFT",30.2,8390771
10107,20120207,"MSFT",30.35,8390771
10107,20120208,"MSFT",30.66,8390771
10107,20120209,"MSFT",30.77,8390771
10107,20120210,"MSFT",30.495,8390771
10107,20120213,"MSFT",30.58,8390771
10107,20120214,"MSFT",30.25,8390771
10107,20120215,"MSFT",30.05,8390771
10107,20120216,"MSFT",31.285,8390771
10107,20120217,"MSFT",31.25,8390771
10107,20120221,"MSFT",31.44,8390771
10107,20120222,"MSFT",31.27,8390771
10107,20120223,"MSFT",31.37,8390771
10107,20120224,"MSFT",31.48,8390771
10107,20120227,"MSFT",31.35,8390771
10107,20120228,"MSFT",31.87,8390771
10107,20120229,"MSFT",31.74,8390771
10107,20120301,"MSFT",32.29,8390771
10107,20120302,"MSFT",32.075,8390771
10107,20120305,"MSFT",31.8,8390771
10107,20120306,"MSFT",31.555,8390771
10107,20120307,"MSFT",31.84,8390771
10107,20120308,"MSFT",32.01,8390771
10107,20120309,"MSFT",31.99,8390771
10107,20120312,"MSFT",32.04,8390771
10107,20120313,"MSFT",32.67,8390771
10107,20120314,"MSFT",32.77,8390771
10107,20120315,"MSFT",32.85,8390771
10107,20120316,"MSFT",32.6,8390771
10107,20120319,"MSFT",32.2,8390771
10107,20120320,"MSFT",31.99,8390771
10107,20120321,"MSFT",31.91,8390771
10107,20120322,"MSFT",31.995,8390771
10107,20120323,"MSFT",32.01,8390771
10107,20120326,"MSFT",32.59,8390771
10107,20120327,"MSFT",32.52,8390771
10107,20120328,"MSFT",32.19,8390771
10107,20120329,"MSFT",32.12,8390771
10107,20120330,"MSFT",32.255,8400000
10107,20120402,"MSFT",32.29,8400000
10107,20120403,"MSFT",31.94,8400000
10107,20120404,"MSFT",31.21,8400000
10107,20120405,"MSFT",31.52,8400000
10107,20120409,"MSFT",31.1,8400000
10107,20120410,"MSFT",30.47,8400000
10107,20120411,"MSFT",30.345,8400000
10107,20120412,"MSFT",30.975,8400000
10107,20120413,"MSFT",30.81,8400000
10107,20120416,"MSFT",31.075,8400000
10107,20120417,"MSFT",31.44,8400866
10107,20120418,"MSFT",31.14,8400866
10107,20120419,"MSFT",31.01,8400866
10107,20120420,"MSFT",32.42,8400866
10107,20120423,"MSFT",32.12,8400866
10107,20120424,"MSFT",31.92,8400866
10107,20120425,"MSFT",32.2,8400866
10107,20120426,"MSFT",32.11,8400866
10107,20120427,"MSFT",31.98,8400866
10107,20120430,"MSFT",32.015,8400866
10107,20120501,"MSFT",32.01,8400866
10107,20120502,"MSFT",31.8,8400866
10107,20120503,"MSFT",31.76,8400866
10107,20120504,"MSFT",30.98,8400866
10107,20120507,"MSFT",30.65,8400866
10107,20120508,"MSFT",30.5,8400866
10107,20120509,"MSFT",30.76,8400866
10107,20120510,"MSFT",30.74,8400866
10107,20120511,"MSFT",31.16,8400866
10107,20120514,"MSFT",30.68,8400866
10107,20120515,"MSFT",30.21,8400866
10107,20120516,"MSFT",29.9,8400866
10107,20120517,"MSFT",29.72,8400866
10107,20120518,"MSFT",29.27,8400866
10107,20120521,"MSFT",29.75,8400866
10107,20120522,"MSFT",29.76,8400866
10107,20120523,"MSFT",29.11,8400866
10107,20120524,"MSFT",29.07,8400866
10107,20120525,"MSFT",29.06,8400866
10107,20120529,"MSFT",29.56,8400866
10107,20120530,"MSFT",29.34,8400866
10107,20120531,"MSFT",29.19,8400866
10107,20120601,"MSFT",28.45,8400866
10107,20120604,"MSFT",28.55,8400866
10107,20120605,"MSFT",28.505,8400866
10107,20120606,"MSFT",29.35,8400866
10107,20120607,"MSFT",29.23,8400866
10107,20120608,"MSFT",29.65,8400866
10107,20120611,"MSFT",28.895,8400866
10107,20120612,"MSFT",29.29,8400866
10107,20120613,"MSFT",29.13,8400866
10107,20120614,"MSFT",29.34,8400866
10107,20120615,"MSFT",30.02,8400866
10107,20120618,"MSFT",29.84,8400866
10107,20120619,"MSFT",30.7,8400866
10107,20120620,"MSFT",30.93,8400866
10107,20120621,"MSFT",30.135,8400866
10107,20120622,"MSFT",30.7,8400866
10107,20120625,"MSFT",29.865,8400866
10107,20120626,"MSFT",30.02,8400866
10107,20120627,"MSFT",30.17,8400866
10107,20120628,"MSFT",29.91,8400866
10107,20120629,"MSFT",30.59,8381000
10107,20120702,"MSFT",30.56,8381000
10107,20120703,"MSFT",30.76,8381000
10107,20120705,"MSFT",30.7,8381000
10107,20120706,"MSFT",30.185,8381000
10107,20120709,"MSFT",30,8381000
10107,20120710,"MSFT",29.74,8381000
10107,20120711,"MSFT",29.3,8381000
10107,20120712,"MSFT",28.63,8381000
10107,20120713,"MSFT",29.39,8381000
10107,20120716,"MSFT",29.44,8381000
10107,20120717,"MSFT",29.66,8381000
10107,20120718,"MSFT",30.45,8383397
10107,20120719,"MSFT",30.665,8383397
10107,20120720,"MSFT",30.115,8383397
10107,20120723,"MSFT",29.28,8383397
10107,20120724,"MSFT",29.15,8383397
10107,20120725,"MSFT",28.83,8383397
10107,20120726,"MSFT",29.16,8383397
10107,20120727,"MSFT",29.755,8383397
10107,20120730,"MSFT",29.64,8383397
10107,20120731,"MSFT",29.47,8383397
10107,20120801,"MSFT",29.41,8383397
10107,20120802,"MSFT",29.19,8383397
10107,20120803,"MSFT",29.75,8383397
10107,20120806,"MSFT",29.95,8383397
10107,20120807,"MSFT",30.26,8383397
10107,20120808,"MSFT",30.33,8383397
10107,20120809,"MSFT",30.5,8383397
10107,20120810,"MSFT",30.42,8383397
10107,20120813,"MSFT",30.39,8383397
10107,20120814,"MSFT",30.13,8383397
10107,20120815,"MSFT",30.2,8383397
10107,20120816,"MSFT",30.78,8383397
10107,20120817,"MSFT",30.9,8383397
10107,20120820,"MSFT",30.74,8383397
10107,20120821,"MSFT",30.8,8383397
10107,20120822,"MSFT",30.54,8383397
10107,20120823,"MSFT",30.255,8383397
10107,20120824,"MSFT",30.56,8383397
10107,20120827,"MSFT",30.69,8383397
10107,20120828,"MSFT",30.63,8383397
10107,20120829,"MSFT",30.65,8383397
10107,20120830,"MSFT",30.32,8383397
10107,20120831,"MSFT",30.82,8383397
10107,20120904,"MSFT",30.385,8383397
10107,20120905,"MSFT",30.39,8383397
10107,20120906,"MSFT",31.345,8383397
10107,20120907,"MSFT",30.95,8383397
10107,20120910,"MSFT",30.72,8383397
10107,20120911,"MSFT",30.79,8383397
10107,20120912,"MSFT",30.78,8383397
10107,20120913,"MSFT",30.935,8383397
10107,20120914,"MSFT",31.21,8430933
10107,20120917,"MSFT",31.21,8430933
10107,20120918,"MSFT",31.175,8430933
10107,20120919,"MSFT",31.052,8430933
10107,20120920,"MSFT",31.45,8430933
10107,20120921,"MSFT",31.19,8430933
10107,20120924,"MSFT",30.78,8430933
10107,20120925,"MSFT",30.39,8430933
10107,20120926,"MSFT",30.165,8430933
10107,20120927,"MSFT",30.16,8430933
10107,20120928,"MSFT",29.76,8422000
10107,20121001,"MSFT",29.49,8422000
10107,20121002,"MSFT",29.66,8422000
10107,20121003,"MSFT",29.86,8422000
10107,20121004,"MSFT",30.03,8422000
10107,20121005,"MSFT",29.85,8422000
10107,20121008,"MSFT",29.78,8422000
10107,20121009,"MSFT",29.28,8422000
10107,20121010,"MSFT",28.98,8422000
10107,20121011,"MSFT",28.95,8422000
