"","Ticker","PE Ratio","Market Cap","MC Proportion","Weighted PE","PE Cont"
"1","INCY",259.887,26.58,0.00131,0.34166,0.01094
"2","NDAQ",107.25,11.45,0.00057,0.06074,0.00194
"3","EXPE",71.04,19.37,0.00096,0.06806,0.00218
"4","ZBH",79.13,24.03,0.00119,0.09405,0.00301
"5","KMI",88.598,48.66,0.00241,0.21323,0.00683
"6","FLS",43.08,6.24,0.00031,0.0133,0.00043
"7","AMT",61.83,52.3,0.00259,0.15994,0.00512
"8","MCO",83.28,21.61,0.00107,0.08901,0.00285
"9","EFX",33.68,16.31,0.00081,0.02717,0.00087
"10","CCI",101.17,34.65,0.00171,0.17338,0.00555
"11","ABT",45.62,73.87,0.00365,0.16668,0.00534
"12","ZTS",32.25,26.18,0.00129,0.04176,0.00134
"13","SBUX",29.56,84,0.00415,0.12281,0.00393
"14","BLL",44.13,12.59,0.00062,0.02748,0.00088
"15","GOOGL",30.17,581.55,0.02876,0.86779,0.02778
"16","CMCSA",20.899,177.26,0.00877,0.18323,0.00587
"17","FB",40.07,404.48,0.02001,0.80162,0.02566
"18","FDX",26.501,49.84,0.00247,0.06533,0.00209
"19","GIS",21.34,33.19,0.00164,0.03503,0.00112
"20","MJN",30.39,16.28,0.00081,0.02447,0.00078
"21","APD",52.1,29.44,0.00146,0.07586,0.00243
"22","VTR",35.2,23.18,0.00115,0.04036,0.00129
"23","V",34.48,206.77,0.01023,0.35262,0.01129
"24","NFLX",334.98,62,0.00307,1.02722,0.03289
"25","UAA",43.21,8.43,0.00042,0.01802,0.00058
"26","CL",27.12,65.12,0.00322,0.08735,0.0028
"27","DVA",15.9021,13.28,0.00066,0.01044,0.00033
"28","NTAP",36.57,10.85,0.00054,0.01962,0.00063
"29","MAA",37.69,11.51,0.00057,0.02146,0.00069
"30","EW",36.12,20.03,0.00099,0.03578,0.00115
"31","SEE",17.27,8.22,0.00041,0.00702,0.00022
"32","FLIR",29.41,4.81,0.00024,0.007,0.00022
"33","ESS",37.3,15.33,0.00076,0.02828,0.00091
"34","HSY",32.51,23.06,0.00114,0.03708,0.00119
"35","BXP",41.88,21,0.00104,0.0435,0.00139
"36","KHC",32.67,111.75,0.00553,0.18057,0.00578
"37","HST",18.07,13.62,0.00067,0.01217,0.00039
"38","TSS",30.222,9.6,0.00047,0.01435,0.00046
"39","ISRG",41.02,29.8,0.00147,0.06046,0.00194
"40","LRCX",22.79,20.7,0.00102,0.02333,0.00075
"41","EXC",29.504,33.35,0.00165,0.04867,0.00156
"42","MA",30.32,120.6,0.00596,0.18085,0.00579
"43","CELG",50.3579,97.55,0.00482,0.24297,0.00778
"44","AVB",24.83,25.65,0.00127,0.0315,0.00101
"45","EXR",26.76,9.77,0.00048,0.01293,0.00041
"46","PSA",32.88,38.88,0.00192,0.06323,0.00202
"47","MYL",41.16,20.28,0.001,0.04129,0.00132
"48","MDT",28.33,109.88,0.00543,0.15396,0.00493
"49","XL",25.84,10.68,0.00053,0.01365,0.00044
"50","EQIX",223.04,28.68,0.00142,0.31638,0.01013
"51","RJF",18.77,10.5,0.00052,0.00975,0.00031
"52","TDG",27.53,12.45,0.00062,0.01695,0.00054
"53","PCLN",41.12,86.23,0.00426,0.17537,0.00561
"54","MET",82.32,56.39,0.00279,0.22959,0.00735
"55","MU",42.23,29.99,0.00148,0.06264,0.00201
"56","AET",20.14,45.41,0.00225,0.04523,0.00145
"57","UPS",26.9742,90.82,0.00449,0.12117,0.00388
"58","PAYX",26.57,21,0.00104,0.0276,0.00088
"59","MMC",21.53,37.47,0.00185,0.0399,0.00128
"60","PNR",21.95,11.39,0.00056,0.01237,4e-04
"61","SCHW",29.3,51.24,0.00253,0.07426,0.00238
"62","BMY",20.01,88.7,0.00439,0.08779,0.00281
"63","CBOE",36.11,6.66,0.00033,0.01189,0.00038
"64","SLG",46.41,10.91,0.00054,0.02504,8e-04
"65","K",36.84,25.35,0.00125,0.04619,0.00148
"66","PEP",25.9,161.1,0.00797,0.20637,0.00661
"67","DOW",17.44,74.5,0.00368,0.06426,0.00206
"68","MRK",44.65,172.83,0.00855,0.38167,0.01222
"69","MAT",27.65,8.71,0.00043,0.01191,0.00038
"70","EIX",20.22,26.19,0.0013,0.02619,0.00084
"71","CLX",26.9,17.2,0.00085,0.02288,0.00073
"72","PKI",26.96,6.3,0.00031,0.0084,0.00027
"73","IRM",82.983,9.28,0.00046,0.03809,0.00122
"74","WRK",92.79,12.54,0.00062,0.05755,0.00184
"75","CMG",597.27,13.23,0.00065,0.39083,0.01251
"76","NUE",23.49,18.59,0.00092,0.0216,0.00069
"77","CAG",29.49,17.25,0.00085,0.02516,0.00081
"78","ILMN",56.35,25.31,0.00125,0.07054,0.00226
"79","TDC",32.14,3.99,2e-04,0.00634,2e-04
"80","ES",20.11,18.86,0.00093,0.01876,6e-04
"81","WEC",20.5,19.15,0.00095,0.01942,0.00062
"82","DE",23.65,34.75,0.00172,0.04065,0.0013
"83","WM",27.25,31.76,0.00157,0.04281,0.00137
"84","CNC",20.67,12.19,6e-04,0.01246,4e-04
"85","HCN",25.93,26.42,0.00131,0.03388,0.00108
"86","L",24.16,15.7,0.00078,0.01876,6e-04
"87","JNJ",21.1082,339.69,0.0168,0.35464,0.01135
"88","RHT",61.91,15.3,0.00076,0.04685,0.0015
"89","KO",28.74,183.85,0.00909,0.26134,0.00837
"90","SYK",29.99,48.64,0.00241,0.07215,0.00231
"91","RL",46.01,6.62,0.00033,0.01506,0.00048
"92","QCOM",16.17,78.33,0.00387,0.06265,0.00201
"93","FMC",46.88,9.76,0.00048,0.02263,0.00072
"94","MSI",25.59,13.66,0.00068,0.01729,0.00055
"95","NOC",19.73,41.99,0.00208,0.04098,0.00131
"96","NVDA",37.72,57.1,0.00282,0.10653,0.00341
"97","HIG",21.11,17.74,0.00088,0.01852,0.00059
"98","ORCL",20.96,182.28,0.00902,0.18897,0.00605
"99","FAST",27.15,13.58,0.00067,0.01824,0.00058
"100","UNP",20.878,86.14,0.00426,0.08895,0.00285
"101","SJM",22.28,14.9,0.00074,0.01642,0.00053
"102","IVZ",14.81,12.32,0.00061,0.00902,0.00029
"103","JNPR",18.16,10.62,0.00053,0.00954,0.00031
"104","D",22.57,48.77,0.00241,0.05444,0.00174
"105","PYPL",37.1,51.53,0.00255,0.09456,0.00303
"106","PWR",27.905,5.31,0.00026,0.00733,0.00023
"107","BSX",98.06,33.43,0.00165,0.16214,0.00519
"108","SRCL",39.71,7.04,0.00035,0.01383,0.00044
"109","VRSK",23.01,13.23,0.00065,0.01506,0.00048
"110","JWN",23.017,7.76,0.00038,0.00883,0.00028
"111","LNT",24.21,9.02,0.00045,0.0108,0.00035
"112","BCR",35.49,17.97,0.00089,0.03154,0.00101
"113","ADP",27.358,45.71,0.00226,0.06185,0.00198
"114","SHW",26,28.84,0.00143,0.03709,0.00119
"115","LKQ",18.94,8.72,0.00043,0.00817,0.00026
"116","CHD",28.56,12.73,0.00063,0.01798,0.00058
"117","CTSH",22.97,35.65,0.00176,0.0405,0.0013
"118","LH",20.31,14.59,0.00072,0.01466,0.00047
"119","OMC",17.798,19.95,0.00099,0.01756,0.00056
"120","FTI",13.27,3.94,0.00019,0.00259,8e-05
"121","PPG",31.95,26.95,0.00133,0.04259,0.00136
"122","XLNX",24.48,13.9,0.00069,0.01683,0.00054
"123","SNPS",37.43,10.7,0.00053,0.01981,0.00063
"124","TSCO",19.88,8.5,0.00042,0.00836,0.00027
"125","AMAT",19.57,41.09,0.00203,0.03977,0.00127
"126","PFG",13.82,17.87,0.00088,0.01221,0.00039
"127","SWK",20.35,20.22,0.001,0.02035,0.00065
"128","AEP",54.3,33.19,0.00164,0.08914,0.00285
"129","CRM",320.58,58.97,0.00292,0.93502,0.02993
"130","CBS",23.85,27.45,0.00136,0.03238,0.00104
"131","PGR",22.39,22.88,0.00113,0.02534,0.00081
"132","TMK",16.79,8.88,0.00044,0.00737,0.00024
"133","MMM",23.22,112.97,0.00559,0.12974,0.00415
"134","ALXN",66.111,26.13,0.00129,0.08544,0.00274
"135","BA",23.23,108.27,0.00536,0.1244,0.00398
"136","GE",33.2748,259.25,0.01282,0.42666,0.01366
"137","WFM",24.66,10.88,0.00054,0.01327,0.00042
"138","SPG",29.48,54.18,0.00268,0.079,0.00253
