"number","date","name","vertical","sub_vertical","location","investor_name","investment_type","usd","remarks"
0,"01/08/2017","TouchKin","Technology","Predictive Care Platform","Bangalore","Kae Capital","Private Equity",1300000,NA
1,"02/08/2017","Ethinos","Technology","Digital Marketing Agency","Mumbai","Triton Investment Advisors","Private Equity",NA,NA
2,"02/08/2017","Leverage Edu","Consumer Internet","Online platform for Higher Education Services","New Delhi","Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose","Seed Funding",NA,NA
3,"02/08/2017","Zepo","Consumer Internet","DIY Ecommerce platform","Mumbai","Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal","Seed Funding",5e+05,NA
4,"02/08/2017","Click2Clinic","Consumer Internet","healthcare service aggregator","Hyderabad","Narottam Thudi, Shireesh Palle","Seed Funding",850000,NA
5,"01/07/2017","Billion Loans","Consumer Internet","Peer to Peer Lending platform","Bangalore","Reliance Corporate Advisory Services Ltd","Seed Funding",1e+06,NA
6,"03/07/2017","Ecolibriumenergy","Technology","Energy management solutions provider","Ahmedabad","Infuse Ventures, JLL","Private Equity",2600000,NA
7,"04/07/2017","Droom","eCommerce","Online marketplace for automobiles","Gurgaon","Asset Management (Asia) Ltd, Digital Garage Inc","Private Equity",2e+07,NA
8,"05/07/2017","Jumbotail","eCommerce","online marketplace for food and grocery","Bangalore","Kalaari Capital, Nexus India Capital Advisors","Private Equity",8500000,NA
9,"05/07/2017","Moglix","eCommerce","B2B marketplace for Industrial products","Noida","International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway","Private Equity",1.2e+07,NA
10,"05/07/2017","Timesaverz","Consumer Internet","Hyperlocal home services provider","Mumbai","BCCL","Private Equity",1e+06,NA
11,"06/07/2017","Minjar","Technology","Cloud Solutions provider","Bangalore","Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs","Seed Funding",NA,NA
12,"06/07/2017","MyCity4kids","Consumer Internet","parenting blog and kids’ events discovery platform","Gurgaon",NA,"Seed Funding",NA,NA
13,"07/07/2017","Clip App","Consumer Internet","Digital Media Video platform","Bangalore","India Quotient, Shunwei Capital","Seed Funding",1e+06,NA
14,"07/07/2017","Upwardly.in","Consumer Internet","MF investment platform","Bangalore","Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures","Seed Funding",NA,NA
15,"10/07/2017","Autorox.co","Technology","Workshop Management Software Platform","Hyderabad","Mitsui & Co.","Private Equity",3e+06,NA
16,"11/07/2017","Fabogo","Consumer Internet","Salon & Spa Aggregation & Discovery platform","Pune","Dunamis Ventures Pte Ltd","Private Equity",2250000,NA
17,"11/07/2017","Flickstree","Consumer Internet","Video Content Discovery Platform","Mumbai","Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures","Seed Funding",464000,NA
18,"11/07/2017","Design Cafe","Consumer Internet","Online Interior Design platform","Bangalore","Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital","Seed Funding",NA,NA
19,"12/07/2017","Innoviti","Technology","Digital payments solutions","Bangalore","SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures","Private Equity",18500000,NA
20,"12/07/2017","VDeliver","Logistics","Door Step Delivery platform","Hyderabad","Corvus Ventures, MAPE Advisory Group","Private Equity",NA,NA
21,"12/07/2017","Bottr.me","Technology","Chatbot creation tool","Bangalore","500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta","Seed Funding",NA,NA
22,"12/07/2017","Arcatron","Technology","Next Gen Mobility device manufacturer","Pune","Indian Angel Network","Seed Funding",NA,NA
23,"14/07/2017","QwikSpec","Technology","Construction site operations and analytics platform","Bangalore","Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen","Seed Funding",540000,NA
24,"14/07/2017","Chumbak","eCommerce","Designer consumer products Marketplace","Bangalore","Blacksoil Capital Pvt. Ltd","Private Equity",1700000,NA
25,"17/07/2017","Increff","Technology","Sales Solutions for Fashion Brands","Bangalore","Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das","Seed Funding",2e+06,NA
26,"17/07/2017","Vayana","Technology","Enterprise Banking Solutions","Pune","IDG Ventures India Advisors, Jungle Ventures","Private Equity",4e+06,NA
27,"18/07/2017","MObiquest","Technology","Mobile Services & Solutions","Noida","One97 Communication Ltd","Private Equity",NA,NA
28,"18/07/2017","Ambee","Consumer Internet","Ambulance Aggregation Services","Hyderabad","Uber Technologies Inc, Amaya Capital LLP","Seed Funding",NA,NA
29,"18/07/2017","Ideal Insurance","Consumer Internet","Online Insurance platform","Kolkata","Xelpmoc","Seed Funding",NA,NA
30,"18/07/2017","Hypernova Interactive","Technology","Mobile games creator","Bangalore","Kae Capital","Seed Funding",NA,NA
31,"19/07/2017","Rentomojo","Consumer Internet","Consumer Leasing Platform","Bangalore","ain Capital Ventures, Renaud Laplanche","Private Equity",1e+07,NA
32,"19/07/2017","AirCTO","Consumer Internet","AI powered recruitment platform","Bangalore","Francesco Cara","Seed Funding",NA,NA
33,"19/07/2017","Playablo","Technology","Gamified Learning App","Bangalore","ABI-Showatech (India) Ltd","Seed Funding",6e+05,NA
34,"20/07/2017","Trupay","Technology","Online payments platform","Gurgaon","Kae Capital, M&S Partners,","Seed Funding",7e+05,NA
35,"21/07/2017","Brick2Wall","eCommerce","Online Marketplace for Construction Material","Gurgaon","Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others","Seed Funding",2e+05,NA
36,"21/07/2017","FableStreet","eCommerce","Women Work wear etailer","New Delhi","Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others","Seed Funding",NA,NA
37,"21/07/2017","Monsoon Fintech","Technology","Machine Learning Access platform","New Delhi","Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan","Seed Funding",NA,NA
38,"21/07/2017","MonkeyBox","Consumer Internet","Healthy Food Delivery Platform","Bangalore","Blume Ventures, NB Ventures, Nspira","Seed Funding",NA,NA
39,"25/07/2017","Noticeboard","Consumer Internet","Mobile-first Enterprise communication platform","Bangalore","Stellaris Venture Partners,","Private Equity",1200000,NA
40,"25/07/2017","Byju’s","Consumer Internet","Mobile Learning App","Bangalore","Tencent Holdings","Private Equity",3.5e+07,NA
41,"26/07/2017","Creator’s Gurukul","Others","Co-Working Space Provider","New Delhi","Yuvraj Singh","Seed Funding",NA,NA
42,"26/07/2017","Fab Hotels","Consumer Internet","Budget hotels brand & Aggregator Platform","New Delhi","Goldman Sachs","Private Equity",2.5e+07,NA
43,"26/07/2017","ThinkerBell","Consumer Internet","Assisted Learning Startup","Bangalore","Indian Angel Network, Anand Mahindra","Seed Funding",2e+05,NA
